,PLZ,BFS-Nr,Gemeindename,Kantonskürzel,Sprache,pop_PLZ,pop_BFS,PLZ_check,pop_BFS_real,PLZ_to_BFS_factor
281,1353,5747,Bofflens,VD,fr,207.0,207.0,True,207.0,1.0
282,1354,5756,Montcherand,VD,fr,505.0,505.0,True,505.0,1.0
283,1355,5741,L'Abergement,VD,fr,401.0,256.0,True,256.0,0.6384039900249376
284,1355,5762,Sergey,VD,fr,401.0,145.0,True,145.0,0.36159600997506236
285,1356,5750,Les Clées,VD,fr,187.0,187.0,True,187.0,1.0
286,1357,5755,Lignerolle,VD,fr,435.0,435.0,True,435.0,1.0
287,1358,5763,Valeyres-sous-Rances,VD,fr,610.0,610.0,True,610.0,1.0
288,1372,5746,Bavois,VD,fr,1009.0,994.0,True,994.0,0.9851337958374629
291,1375,5531,Penthéréaz,VD,fr,419.0,419.0,True,419.0,1.0
292,1376,5541,Goumoëns,VD,fr,1153.0,1153.0,True,1153.0,1.0
293,1377,5529,Oulens-sous-Echallens,VD,fr,617.0,617.0,True,617.0,1.0
296,1404,5911,Cuarny,VD,fr,332.0,232.0,True,232.0,0.6987951807228916
297,1404,5935,Villars-Epeney,VD,fr,332.0,100.0,True,100.0,0.30120481927710846
298,1405,5926,Pomy,VD,fr,806.0,807.0,True,807.0,1.001240694789082
299,1406,5910,Cronay,VD,fr,396.0,396.0,True,396.0,1.0
302,1408,5913,Donneloye,VD,fr,118.0,828.0,True,118.0,1.0
301,1407,5913,Donneloye,VD,fr,930.0,828.0,True,700.0,0.7526881720430108
300,1407,5903,Bioley-Magnoux,VD,fr,930.0,230.0,True,230.0,0.24731182795698925
306,1412,5932,Ursins,VD,fr,480.0,239.0,True,239.0,0.4979166666666667
307,1412,5934,Valeyres-sous-Ursins,VD,fr,480.0,241.0,True,241.0,0.5020833333333333
308,1413,5925,Orzens,VD,fr,201.0,201.0,True,201.0,1.0
309,1415,5912,Démoret,VD,fr,410.0,158.0,True,158.0,0.3853658536585366
310,1415,5921,Molondin,VD,fr,410.0,252.0,True,252.0,0.6146341463414634
311,1416,5530,Pailly,VD,fr,568.0,568.0,True,568.0,1.0
312,1417,5520,Essertines-sur-Yverdon,VD,fr,1037.0,1037.0,True,1037.0,1.0
313,1418,5539,Vuarrens,VD,fr,1060.0,1060.0,True,1060.0,1.0
314,1420,5556,Fiez,VD,fr,451.0,451.0,True,451.0,1.0
315,1421,5557,Fontaines-sur-Grandson,VD,fr,442.0,219.0,True,219.0,0.49547511312217196
316,1421,5560,Grandevent,VD,fr,442.0,226.0,True,226.0,0.5113122171945701
317,1422,5561,Grandson,VD,fr,3358.0,3358.0,True,3358.0,1.0
318,1423,5571,Tévenon,VD,fr,914.0,894.0,True,894.0,0.9781181619256017
319,1424,5553,Champagne,VD,fr,1062.0,1062.0,True,1062.0,1.0
320,1425,5565,Onnens (VD),VD,fr,506.0,506.0,True,506.0,1.0
321,1426,5554,Concise,VD,fr,1418.0,1001.0,True,1001.0,0.7059238363892807
322,1426,5555,Corcelles-près-Concise,VD,fr,1418.0,418.0,True,418.0,0.2947813822284908
323,1427,5551,Bonvillars,VD,fr,467.0,489.0,True,489.0,1.0471092077087794
324,1428,5563,Mutrux,VD,fr,522.0,148.0,True,148.0,0.2835249042145594
325,1428,5566,Provence,VD,fr,522.0,392.0,True,392.0,0.7509578544061303
326,1429,5559,Giez,VD,fr,413.0,413.0,True,413.0,1.0
327,1430,5924,Orges,VD,fr,343.0,343.0,True,343.0,1.0
328,1431,5564,Novalles,VD,fr,238.0,100.0,True,100.0,0.42016806722689076
329,1431,5937,Vugelles-La Mothe,VD,fr,238.0,138.0,True,138.0,0.5798319327731093
330,1432,5902,Belmont-sur-Yverdon,VD,fr,564.0,397.0,True,397.0,0.7039007092198581
331,1432,5938,Yverdon-les-Bains,VD,fr,564.0,29955.0,True,167.0,0.29609929078014185
295,1400,5938,Yverdon-les-Bains,VD,fr,30533.0,29955.0,True,29793.0,0.9757639275537943
294,1400,5909,Cheseaux-Noréaz,VD,fr,30533.0,740.0,True,740.0,0.024236072446205743
332,1433,5929,Suchy,VD,fr,655.0,655.0,True,655.0,1.0
333,1434,5914,Ependes (VD),VD,fr,389.0,389.0,True,389.0,1.0
334,1435,5749,Chavornay,VD,fr,197.0,5229.0,True,197.0,1.0
289,1373,5749,Chavornay,VD,fr,4672.0,5229.0,True,4672.0,1.0
290,1374,5749,Chavornay,VD,fr,360.0,5229.0,True,360.0,1.0
335,1436,5904,Chamblon,VD,fr,1045.0,560.0,True,560.0,0.5358851674641149
336,1436,5931,Treycovagnes,VD,fr,1045.0,485.0,True,485.0,0.46411483253588515
337,1437,5930,Suscévaz,VD,fr,204.0,204.0,True,204.0,1.0
338,1438,5919,Mathod,VD,fr,651.0,651.0,True,651.0,1.0
339,1439,5760,Rances,VD,fr,513.0,513.0,True,513.0,1.0
340,1441,5933,Valeyres-sous-Montagny,VD,fr,713.0,713.0,True,713.0,1.0
341,1442,5922,Montagny-près-Yverdon,VD,fr,738.0,738.0,True,738.0,1.0
342,1443,5905,Champvent,VD,fr,696.0,696.0,True,696.0,1.0
343,1445,5766,Vuiteboeuf,VD,fr,594.0,588.0,True,588.0,0.98989898989899
