,PLZ,BFS-Nr,Gemeindename,Kantonskürzel,Sprache,pop_PLZ,pop_BFS,PLZ_check,pop_BFS_real,PLZ_to_BFS_factor
881,2742,701,Perrefitte,BE,fr,471.0,481.0,True,481.0,1.0212314225053079
882,2743,692,Eschert,BE,fr,377.0,377.0,True,377.0,1.0
883,2744,681,Belprahon,BE,fr,279.0,279.0,True,279.0,1.0
884,2745,694,Grandval,BE,fr,388.0,388.0,True,388.0,1.0
885,2746,691,Crémines,BE,fr,478.0,488.0,True,488.0,1.0209205020920502
886,2747,687,Corcelles (BE),BE,fr,270.0,201.0,True,201.0,0.7444444444444445
887,2747,709,Seehof,BE,de,270.0,56.0,True,56.0,0.2074074074074074
888,2748,716,Petit-Val,BE,fr,147.0,392.0,True,147.0,1.0
862,2715,716,Petit-Val,BE,fr,63.0,392.0,True,63.0,1.0
863,2716,716,Petit-Val,BE,fr,144.0,392.0,True,144.0,1.0
865,2717,716,Petit-Val,BE,fr,70.0,392.0,True,29.0,0.4142857142857143
864,2717,715,Rebévelier,BE,fr,70.0,41.0,True,41.0,0.5857142857142857
889,2762,704,Roches (BE),BE,fr,190.0,190.0,True,190.0,1.0
890,2800,6711,Delémont,JU,fr,12626.0,12618.0,True,12618.0,0.9993663868208459
891,2802,6712,Develier,JU,fr,1365.0,1371.0,True,1371.0,1.0043956043956044
892,2803,6703,Bourrignon,JU,fr,273.0,270.0,True,270.0,0.989010989010989
893,2805,6724,Soyhières,JU,fr,461.0,436.0,True,436.0,0.9457700650759219
894,2806,6716,Mettembert,JU,fr,114.0,108.0,True,108.0,0.9473684210526315
895,2807,6719,Pleigne,JU,fr,342.0,349.0,True,349.0,1.0204678362573099
896,2812,6718,Movelier,JU,fr,408.0,415.0,True,415.0,1.017156862745098
897,2813,6713,Ederswiler,JU,de,124.0,118.0,True,118.0,0.9516129032258065
898,2814,2790,Roggenburg,BL,de,274.0,269.0,True,269.0,0.9817518248175182
900,2823,6709,Courroux,JU,fr,444.0,3313.0,True,444.0,1.0
899,2822,6709,Courroux,JU,fr,2842.0,3313.0,True,2842.0,1.0
902,2825,6706,Courchapoix,JU,fr,446.0,446.0,True,446.0,1.0
904,2827,708,Schelten,BE,de,573.0,39.0,True,39.0,0.06806282722513089
905,2827,6715,Mervelier,JU,fr,573.0,528.0,True,528.0,0.9214659685863874
907,2829,6730,Val Terbi,JU,fr,354.0,3190.0,True,354.0,1.0
901,2824,6730,Val Terbi,JU,fr,1865.0,3190.0,True,1865.0,1.0
903,2826,6730,Val Terbi,JU,fr,496.0,3190.0,True,496.0,1.0
906,2828,6730,Val Terbi,JU,fr,469.0,3190.0,True,469.0,1.0
909,2832,6708,Courrendlin,JU,fr,409.0,3631.0,True,409.0,1.0
908,2830,6708,Courrendlin,JU,fr,3228.0,3631.0,True,3228.0,1.0
910,2842,6721,Rossemaison,JU,fr,687.0,687.0,True,687.0,1.0
911,2843,6704,Châtillon (JU),JU,fr,485.0,485.0,True,485.0,1.0
912,2852,6710,Courtételle,JU,fr,2644.0,2644.0,True,2644.0,1.0
917,2857,6702,Boécourt,JU,fr,164.0,923.0,True,164.0,1.0
916,2856,6702,Boécourt,JU,fr,752.0,923.0,True,752.0,1.0
919,2864,6729,Haute-Sorne,JU,fr,209.0,7167.0,True,209.0,1.0
913,2853,6729,Haute-Sorne,JU,fr,1748.0,7167.0,True,1748.0,1.0
914,2854,6729,Haute-Sorne,JU,fr,3660.0,7167.0,True,3660.0,1.0
915,2855,6729,Haute-Sorne,JU,fr,1250.0,7167.0,True,1250.0,1.0
918,2863,6729,Haute-Sorne,JU,fr,278.0,7167.0,True,278.0,1.0
920,2873,6722,Saulcy,JU,fr,249.0,255.0,True,255.0,1.0240963855421688
927,2887,6759,Soubey,JU,fr,131.0,131.0,True,131.0,1.0
929,2889,6808,Clos du Doubs,JU,fr,125.0,1263.0,True,125.0,1.0
922,2882,6808,Clos du Doubs,JU,fr,685.0,1263.0,True,342.5,0.5
921,2882,6758,Saint-Brais,JU,fr,685.0,227.0,True,342.5,0.5
923,2883,6808,Clos du Doubs,JU,fr,98.0,1263.0,True,98.0,1.0
924,2884,6808,Clos du Doubs,JU,fr,87.0,1263.0,True,87.0,1.0
925,2885,6808,Clos du Doubs,JU,fr,158.0,1263.0,True,158.0,1.0
926,2886,6808,Clos du Doubs,JU,fr,77.0,1263.0,True,77.0,1.0
928,2888,6808,Clos du Doubs,JU,fr,48.0,1263.0,True,48.0,1.0
792,2364,6758,Saint-Brais,JU,fr,219.0,227.0,True,219.0,1.0
930,2900,6800,Porrentruy,JU,fr,6434.0,6434.0,True,6434.0,1.0
933,2904,6790,Fontenais,JU,fr,409.0,1690.0,True,409.0,1.0
931,2902,6790,Fontenais,JU,fr,1063.0,1690.0,True,1063.0,1.0
932,2903,6790,Fontenais,JU,fr,218.0,1690.0,True,218.0,1.0
934,2905,6785,Courtedoux,JU,fr,755.0,755.0,True,755.0,1.0
937,2908,6792,Grandfontaine,JU,fr,387.0,387.0,True,387.0,1.0
939,2914,6809,Haute-Ajoie,JU,fr,101.0,1096.0,True,101.0,1.0
935,2906,6809,Haute-Ajoie,JU,fr,641.0,1096.0,True,641.0,1.0
936,2907,6809,Haute-Ajoie,JU,fr,153.0,1096.0,True,153.0,1.0
938,2912,6809,Haute-Ajoie,JU,fr,201.0,1096.0,True,201.0,1.0
940,2915,6778,Bure,JU,fr,651.0,645.0,True,645.0,0.9907834101382489
941,2916,6789,Fahy,JU,fr,347.0,347.0,True,347.0,1.0
942,2922,6783,Courchavon,JU,fr,314.0,314.0,True,314.0,1.0
945,2925,6807,Basse-Allaine,JU,fr,417.0,1241.0,True,417.0,1.0
943,2923,6807,Basse-Allaine,JU,fr,595.0,1241.0,True,595.0,1.0
944,2924,6807,Basse-Allaine,JU,fr,223.0,1241.0,True,223.0,1.0
946,2926,6774,Boncourt,JU,fr,1195.0,1195.0,True,1195.0,1.0
947,2932,6781,Coeuve,JU,fr,740.0,740.0,True,740.0,1.0
948,2933,6787,Damphreux,JU,fr,369.0,181.0,True,181.0,0.4905149051490515
949,2933,6793,Lugnez,JU,fr,369.0,188.0,True,188.0,0.5094850948509485
950,2935,6773,Beurnevésin,JU,fr,119.0,119.0,True,119.0,1.0
951,2942,6771,Alle,JU,fr,1895.0,1895.0,True,1895.0,1.0
952,2943,6806,Vendlincourt,JU,fr,560.0,560.0,True,560.0,1.0
953,2944,6775,Bonfol,JU,fr,663.0,663.0,True,663.0,1.0
956,2950,6784,Courgenay,JU,fr,2400.0,2400.0,True,2400.0,1.0
957,2952,6782,Cornol,JU,fr,1028.0,1028.0,True,1028.0,1.0
959,2954,6810,La Baroche,JU,fr,183.0,1135.0,True,183.0,1.0
954,2946,6810,La Baroche,JU,fr,423.0,1135.0,True,423.0,1.0
955,2947,6810,La Baroche,JU,fr,267.0,1135.0,True,267.0,1.0
958,2953,6810,La Baroche,JU,fr,256.0,1135.0,True,256.0,1.0
974,3027,351,Bern,BE,de,13359.0,134794.0,True,13359.0,1.0
960,3004,351,Bern,BE,de,3626.0,134794.0,True,3626.0,1.0
961,3005,351,Bern,BE,de,4569.0,134794.0,True,4569.0,1.0
962,3006,351,Bern,BE,de,18851.0,134794.0,True,18851.0,1.0
963,3007,351,Bern,BE,de,15835.0,134794.0,True,15835.0,1.0
964,3008,351,Bern,BE,de,10267.0,134794.0,True,10267.0,1.0
965,3010,351,Bern,BE,de,4.0,134794.0,True,4.0,1.0
966,3011,351,Bern,BE,de,4787.0,134794.0,True,4787.0,1.0
967,3012,351,Bern,BE,de,14314.0,134794.0,True,14314.0,1.0
968,3013,351,Bern,BE,de,10971.0,134794.0,True,10971.0,1.0
969,3014,351,Bern,BE,de,13953.0,134794.0,True,13953.0,1.0
970,3015,351,Bern,BE,de,3042.0,134794.0,True,3042.0,1.0
971,3018,351,Bern,BE,de,17925.0,134794.0,True,17925.0,1.0
972,3019,351,Bern,BE,de,855.0,134794.0,True,855.0,1.0
973,3020,351,Bern,BE,de,515.0,134794.0,True,515.0,1.0
981,3038,354,Kirchlindach,BE,de,1464.0,3200.0,True,1464.0,1.0
980,3037,354,Kirchlindach,BE,de,1813.0,3200.0,True,1813.0,1.0
986,3046,307,Meikirch,BE,de,518.0,2526.0,True,518.0,1.0
982,3042,307,Meikirch,BE,de,729.0,2526.0,True,729.0,1.0
985,3045,307,Meikirch,BE,de,1329.0,2526.0,True,1329.0,1.0
987,3047,353,Bremgarten bei Bern,BE,de,4340.0,4340.0,True,4340.0,1.0
989,3049,360,Wohlen bei Bern,BE,de,556.0,9240.0,True,556.0,1.0
975,3032,360,Wohlen bei Bern,BE,de,4596.0,9240.0,True,4596.0,1.0
976,3033,360,Wohlen bei Bern,BE,de,1733.0,9240.0,True,1733.0,1.0
977,3034,360,Wohlen bei Bern,BE,de,249.0,9240.0,True,249.0,1.0
983,3043,360,Wohlen bei Bern,BE,de,1598.0,9240.0,True,1598.0,1.0
984,3044,360,Wohlen bei Bern,BE,de,617.0,9240.0,True,617.0,1.0
990,3052,361,Zollikofen,BE,de,11791.0,10640.0,True,10640.0,0.9023831736069884
996,3054,311,Schüpfen,BE,de,3771.0,3792.0,True,3792.0,1.005568814638027
997,3063,362,Ittigen,BE,de,9845.0,11430.0,True,9845.0,1.0
988,3048,362,Ittigen,BE,de,1801.0,11430.0,True,1801.0,1.0
998,3065,352,Bolligen,BE,de,6128.0,6308.0,True,6308.0,1.029373368146214
999,3066,358,Stettlen,BE,de,3376.0,3162.0,True,3162.0,0.9366113744075829
1001,3068,359,Vechigen,BE,de,1721.0,5512.0,True,1721.0,1.0
1000,3067,359,Vechigen,BE,de,3727.0,5512.0,True,3727.0,1.0
1002,3072,363,Ostermundigen,BE,de,17732.0,17758.0,True,17758.0,1.001466275659824
1004,3074,356,Muri bei Bern,BE,de,6210.0,13182.0,True,6210.0,1.0
1003,3073,356,Muri bei Bern,BE,de,6976.0,13182.0,True,6976.0,1.0
1008,3078,627,Worb,BE,de,434.0,11621.0,True,434.0,1.0
1005,3075,627,Worb,BE,de,3911.0,11621.0,True,3911.0,1.0
1006,3076,627,Worb,BE,de,6770.0,11621.0,True,6770.0,1.0
1007,3077,627,Worb,BE,de,374.0,11621.0,True,374.0,1.0
1012,3086,888,Wald (BE),BE,de,1155.0,1160.0,True,1160.0,1.0043290043290043
1013,3087,877,Niedermuhlern,BE,de,569.0,512.0,True,512.0,0.8998242530755711
1017,3096,357,Oberbalm,BE,de,866.0,866.0,True,866.0,1.0
1022,3111,616,Münsingen,BE,de,406.0,12966.0,True,406.0,1.0
1010,3083,616,Münsingen,BE,de,547.0,12966.0,True,547.0,1.0
1021,3110,616,Münsingen,BE,de,12013.0,12966.0,True,12013.0,1.0
1023,3112,630,Allmendingen,BE,de,602.0,579.0,True,579.0,0.9617940199335548
1024,3113,623,Rubigen,BE,de,2910.0,2892.0,True,2892.0,0.9938144329896907
1025,3114,632,Wichtrach,BE,de,4390.0,4377.0,True,4377.0,0.9970387243735763
1026,3115,866,Gerzensee,BE,de,1248.0,1237.0,True,1237.0,0.9911858974358975
1028,3122,870,Kehrsatz,BE,de,4400.0,4380.0,True,4380.0,0.9954545454545455
1030,3124,861,Belp,BE,de,337.0,11603.0,True,337.0,1.0
1029,3123,861,Belp,BE,de,11094.0,11603.0,True,11094.0,1.0
1031,3125,884,Toffen,BE,de,2661.0,2547.0,True,2547.0,0.9571589627959414
1032,3126,869,Kaufdorf,BE,de,1399.0,1073.0,True,1073.0,0.7669764117226591
1033,3126,872,Kirchdorf (BE),BE,de,1399.0,1796.0,True,326.0,0.23302358827734096
1027,3116,872,Kirchdorf (BE),BE,de,1448.0,1796.0,True,1448.0,1.0
1037,3132,879,Riggisberg,BE,de,2363.0,2599.0,True,2363.0,1.0
1020,3099,879,Riggisberg,BE,de,332.0,2599.0,True,332.0,1.0
1035,3128,879,Riggisberg,BE,de,661.0,2599.0,True,330.5,0.5
1036,3128,889,Thurnen,BE,de,661.0,2035.0,True,330.5,0.5
1034,3127,889,Thurnen,BE,de,1721.0,2035.0,True,1721.0,1.0
1045,3154,853,Rüschegg,BE,de,1296.0,1697.0,True,1296.0,1.0
1044,3153,853,Rüschegg,BE,de,450.0,1697.0,True,450.0,1.0
1046,3155,880,Rüeggisberg,BE,de,410.0,1765.0,True,410.0,1.0
1014,3088,880,Rüeggisberg,BE,de,989.0,1765.0,True,989.0,1.0
1015,3089,880,Rüeggisberg,BE,de,290.0,1765.0,True,290.0,1.0
1050,3159,852,Guggisberg,BE,de,222.0,1490.0,True,222.0,1.0
545,1738,852,Guggisberg,BE,de,195.0,1490.0,True,195.0,1.0
1047,3156,852,Guggisberg,BE,de,361.0,1490.0,True,361.0,1.0
1049,3158,852,Guggisberg,BE,de,666.0,1490.0,True,666.0,1.0
1053,3174,355,Köniz,BE,de,2332.0,42388.0,True,2332.0,1.0
1011,3084,355,Köniz,BE,de,8120.0,42388.0,True,8120.0,1.0
1016,3095,355,Köniz,BE,de,3186.0,42388.0,True,3186.0,1.0
1018,3097,355,Köniz,BE,de,8652.0,42388.0,True,8652.0,1.0
1019,3098,355,Köniz,BE,de,11621.0,42388.0,True,11621.0,1.0
1038,3144,355,Köniz,BE,de,1115.0,42388.0,True,1115.0,1.0
1039,3145,355,Köniz,BE,de,2686.0,42388.0,True,2686.0,1.0
1040,3147,355,Köniz,BE,de,951.0,42388.0,True,951.0,1.0
1051,3172,355,Köniz,BE,de,3537.0,42388.0,True,3537.0,1.0
1052,3173,355,Köniz,BE,de,1484.0,42388.0,True,1484.0,1.0
1055,3176,670,Neuenegg,BE,de,4505.0,5601.0,True,5601.0,1.2432852386237514
1056,3177,667,Laupen,BE,de,3269.0,3230.0,True,3230.0,0.9880697460997246
1057,3178,2295,Bösingen,FR,de,3395.0,3421.0,True,3421.0,1.0076583210603829
1058,3179,666,Kriechenwil,BE,de,443.0,441.0,True,441.0,0.9954853273137697
1059,3182,2308,Ueberstorf,FR,de,2396.0,2382.0,True,2382.0,0.9941569282136895
1060,3183,855,Schwarzenburg,BE,de,394.0,6812.0,True,394.0,1.0
1041,3148,855,Schwarzenburg,BE,de,998.0,6812.0,True,998.0,1.0
1042,3150,855,Schwarzenburg,BE,de,4473.0,6812.0,True,4473.0,1.0
1043,3152,855,Schwarzenburg,BE,de,671.0,6812.0,True,671.0,1.0
1048,3157,855,Schwarzenburg,BE,de,330.0,6812.0,True,330.0,1.0
1061,3184,2309,Wünnewil-Flamatt,FR,de,3126.0,5559.0,True,3126.0,1.0
1054,3175,2309,Wünnewil-Flamatt,FR,de,2313.0,5559.0,True,2313.0,1.0
1062,3185,2305,Schmitten (FR),FR,de,4212.0,4166.0,True,4166.0,0.9890788224121557
1063,3186,2293,Düdingen,FR,de,8234.0,8300.0,True,8300.0,1.0080155452999757
1064,3202,663,Frauenkappelen,BE,de,1229.0,1320.0,True,1320.0,1.0740439381611067
1067,3205,668,Mühleberg,BE,de,1149.0,2997.0,True,1149.0,1.0
1065,3203,668,Mühleberg,BE,de,1258.0,2997.0,True,1258.0,1.0
1066,3204,668,Mühleberg,BE,de,1009.0,2997.0,True,1009.0,1.0
1072,3208,665,Gurbrü,BE,de,250.0,254.0,True,254.0,1.016
1073,3210,2265,Kerzers,FR,de,5050.0,5037.0,True,5037.0,0.9974257425742574
1075,3213,2262,Gurmels,FR,de,1487.0,4487.0,True,788.0,0.5299260255548084
1076,3213,2266,Kleinbösingen,FR,de,1487.0,699.0,True,699.0,0.47007397444519167
579,1792,2262,Gurmels,FR,de,1365.0,4487.0,True,1365.0,1.0
1069,3206,2262,Gurmels,FR,de,1148.0,4487.0,True,-66.0,-0.05749128919860627
1068,3206,662,Ferenbalm,BE,de,1148.0,1214.0,True,1214.0,1.0574912891986064
1074,3212,2262,Gurmels,FR,de,2155.0,4487.0,True,2155.0,1.0
1077,3214,2278,Ulmiz,FR,de,432.0,432.0,True,432.0,1.0
1079,3216,2276,Ried bei Kerzers,FR,de,1214.0,1229.0,True,1229.0,1.0123558484349258
1080,3225,498,Müntschemier,BE,de,1561.0,1561.0,True,1561.0,1.0
1081,3226,500,Treiten,BE,de,438.0,429.0,True,429.0,0.9794520547945206
1082,3232,496,Ins,BE,de,3544.0,3560.0,True,3560.0,1.0045146726862302
1083,3233,501,Tschugg,BE,de,486.0,470.0,True,470.0,0.9670781893004116
1084,3234,502,Vinelz,BE,de,874.0,878.0,True,878.0,1.0045766590389016
1085,3235,492,Erlach,BE,de,1390.0,1386.0,True,1386.0,0.9971223021582734
1086,3236,495,Gampelen,BE,de,970.0,950.0,True,950.0,0.979381443298969
1087,3237,491,Brüttelen,BE,de,582.0,582.0,True,582.0,1.0
1088,3238,494,Gals,BE,de,804.0,828.0,True,828.0,1.0298507462686568
1092,3252,755,Worben,BE,de,2433.0,2404.0,True,2404.0,0.9880805589806823
1093,3253,2461,Schnottwil,SO,de,1135.0,1135.0,True,1135.0,1.0
1096,3256,310,Rapperswil (BE),BE,de,677.0,2592.0,True,677.0,1.0
991,3053,310,Rapperswil (BE),BE,de,10012.0,2592.0,True,-221.0,-0.02207351178585697
992,3053,535,Deisswil bei Münchenbuchsee,BE,de,10012.0,86.0,True,86.0,0.008589692369157012
993,3053,536,Diemerswil,BE,de,10012.0,199.0,True,199.0,0.019876148621654016
994,3053,546,Münchenbuchsee,BE,de,10012.0,10233.0,True,10233.0,1.022073511785857
995,3053,553,Wiggiswil,BE,de,10012.0,103.0,True,103.0,0.010287654814222932
1090,3251,310,Rapperswil (BE),BE,de,839.0,2592.0,True,209.0,0.24910607866507747
1091,3251,394,Wengi,BE,de,839.0,630.0,True,630.0,0.7508939213349225
1095,3255,310,Rapperswil (BE),BE,de,1134.0,2592.0,True,1134.0,1.0
1098,3262,303,Grossaffoltern,BE,de,641.0,3033.0,True,641.0,1.0
1097,3257,303,Grossaffoltern,BE,de,2392.0,3033.0,True,2392.0,1.0
1099,3263,382,Büetigen,BE,de,894.0,894.0,True,894.0,1.0
1100,3264,385,Diessbach bei Büren,BE,de,991.0,991.0,True,991.0,1.0
1103,3268,312,Seedorf (BE),BE,de,475.0,3134.0,True,475.0,1.0
978,3035,312,Seedorf (BE),BE,de,244.0,3134.0,True,244.0,1.0
1101,3266,312,Seedorf (BE),BE,de,590.0,3134.0,True,590.0,1.0
1102,3267,312,Seedorf (BE),BE,de,1861.0,3134.0,True,1861.0,1.0
1104,3270,301,Aarberg,BE,de,4606.0,4626.0,True,4626.0,1.0043421623968736
1105,3271,309,Radelfingen,BE,de,375.0,1272.0,True,375.0,1.0
979,3036,309,Radelfingen,BE,de,948.0,1272.0,True,948.0,1.0
1106,3272,735,Epsach,BE,de,1365.0,326.0,True,326.0,0.23882783882783884
1107,3272,754,Walperswil,BE,de,1365.0,1039.0,True,1039.0,0.7611721611721611
1108,3273,305,Kappelen,BE,de,1404.0,1420.0,True,1420.0,1.0113960113960114
1109,3274,734,Bühl,BE,de,1178.0,482.0,True,482.0,0.4091680814940577
1110,3274,737,Hermrigen,BE,de,1178.0,307.0,True,307.0,0.2606112054329372
1111,3274,741,Merzligen,BE,de,1178.0,389.0,True,389.0,0.3302207130730051
1115,3282,302,Bargen (BE),BE,de,1044.0,1051.0,True,1051.0,1.0067049808429118
1116,3283,304,Kallnach,BE,de,1940.0,2220.0,True,1940.0,1.0
1070,3207,304,Kallnach,BE,de,663.0,2220.0,True,302.0,0.4555052790346908
1071,3207,671,Wileroltigen,BE,de,663.0,361.0,True,361.0,0.5444947209653092
1117,3284,2258,Fräschels,FR,de,456.0,456.0,True,456.0,1.0
1118,3285,2275,Murten,FR,de,752.0,8244.0,True,752.0,1.0
423,1595,2275,Murten,FR,de,930.0,8244.0,True,51.0,0.054838709677419356
424,1595,5458,Faoug,VD,fr,930.0,879.0,True,879.0,0.9451612903225807
580,1793,2275,Murten,FR,de,437.0,8244.0,True,437.0,1.0
581,1794,2275,Murten,FR,de,652.0,8244.0,True,652.0,1.0
582,1795,2275,Murten,FR,de,313.0,8244.0,True,313.0,1.0
1078,3215,2275,Murten,FR,de,664.0,8244.0,True,664.0,1.0
1114,3280,2275,Murten,FR,de,7530.0,8244.0,True,6940.0,0.9216467463479415
1112,3280,2261,Greng,FR,de,7530.0,178.0,True,178.0,0.023638778220451528
1113,3280,2271,Meyriez,FR,de,7530.0,590.0,True,590.0,0.07835325365205843
1119,3286,2274,Muntelier,FR,de,976.0,976.0,True,976.0,1.0
1120,3292,306,Lyss,BE,de,2019.0,15763.0,True,2019.0,1.0
1089,3250,306,Lyss,BE,de,13744.0,15763.0,True,13744.0,1.0
1121,3293,386,Dotzigen,BE,de,1486.0,1490.0,True,1490.0,1.002691790040377
1122,3294,383,Büren an der Aare,BE,de,3679.0,3622.0,True,3622.0,0.9845066594183202
1123,3294,389,Meienried,BE,de,3679.0,53.0,True,53.0,0.014406088611035607
1124,3295,393,Rüti bei Büren,BE,de,867.0,867.0,True,867.0,1.0
1125,3296,381,Arch,BE,de,1700.0,1700.0,True,1700.0,1.0
1126,3297,388,Leuzigen,BE,de,1295.0,1295.0,True,1295.0,1.0
1127,3298,391,Oberwil bei Büren,BE,de,887.0,887.0,True,887.0,1.0
1128,3302,544,Moosseedorf,BE,de,4050.0,4092.0,True,4092.0,1.0103703703703704
1131,3305,540,Jegenstorf,BE,de,502.0,5738.0,True,74.0,0.14741035856573706
1132,3305,541,Iffwil,BE,de,502.0,428.0,True,428.0,0.852589641434263
1129,3303,540,Jegenstorf,BE,de,6227.0,5738.0,True,5664.0,0.9095872811947968
1130,3303,557,Zuzwil (BE),BE,de,6227.0,563.0,True,563.0,0.09041271880520314
1141,3315,533,Bätterkinden,BE,de,3234.0,3288.0,True,3288.0,1.0166975881261595
1142,3317,538,Fraubrunnen,BE,de,586.0,5203.0,True,586.0,1.0
1133,3306,538,Fraubrunnen,BE,de,330.0,5203.0,True,330.0,1.0
1135,3308,538,Fraubrunnen,BE,de,974.0,5203.0,True,974.0,1.0
1137,3309,538,Fraubrunnen,BE,de,843.0,5203.0,True,296.0,0.35112692763938314
1136,3309,411,Kernenried,BE,de,843.0,547.0,True,547.0,0.6488730723606169
1138,3312,538,Fraubrunnen,BE,de,2031.0,5203.0,True,2031.0,1.0
1139,3313,538,Fraubrunnen,BE,de,471.0,5203.0,True,471.0,1.0
1140,3314,538,Fraubrunnen,BE,de,556.0,5203.0,True,556.0,1.0
1143,3322,543,Mattstetten,BE,de,6973.0,580.0,True,580.0,0.0831779721784024
1144,3322,551,Urtenen-Schönbühl,BE,de,6973.0,6367.0,True,6367.0,0.9130933601032554
1145,3323,403,Bäriswil,BE,de,1071.0,1071.0,True,1071.0,1.0
1146,3324,409,Hindelbank,BE,de,2574.0,2519.0,True,2519.0,0.9786324786324786
1148,3326,414,Krauchthal,BE,de,1512.0,2384.0,True,1512.0,1.0
1147,3325,414,Krauchthal,BE,de,928.0,2384.0,True,928.0,1.0
1150,3362,982,Niederönz,BE,de,1689.0,1691.0,True,1691.0,1.0011841326228537
1151,3363,979,Herzogenbuchsee,BE,de,1023.0,7293.0,True,1023.0,1.0
1149,3360,979,Herzogenbuchsee,BE,de,6270.0,7293.0,True,6270.0,1.0
1153,3366,973,Bettenhausen,BE,de,642.0,642.0,True,642.0,1.0
1156,3368,324,Bleienbach,BE,de,740.0,734.0,True,734.0,0.9918918918918919
1158,3373,977,Heimenhausen,BE,de,934.0,1136.0,True,934.0,1.0
1157,3372,977,Heimenhausen,BE,de,202.0,1136.0,True,202.0,1.0
1159,3374,993,Wangenried,BE,de,407.0,407.0,True,407.0,1.0
1160,3375,980,Inkwil,BE,de,628.0,628.0,True,628.0,1.0
1161,3376,972,Berken,BE,de,380.0,44.0,True,44.0,0.11578947368421053
1162,3376,976,Graben,BE,de,380.0,336.0,True,336.0,0.8842105263157894
1163,3377,991,Walliswil bei Wangen,BE,de,604.0,604.0,True,604.0,1.0
1164,3380,990,Walliswil bei Niederbipp,BE,de,2665.0,227.0,True,227.0,0.08517823639774859
1165,3380,992,Wangen an der Aare,BE,de,2665.0,2377.0,True,2377.0,0.8919324577861163
1166,3400,404,Burgdorf,BE,de,16077.0,16583.0,True,16583.0,1.0314735336194563
1168,3413,407,Heimiswil,BE,de,510.0,1632.0,True,510.0,1.0
1167,3412,407,Heimiswil,BE,de,975.0,1632.0,True,975.0,1.0
1175,3419,406,Hasle bei Burgdorf,BE,de,487.0,3302.0,True,487.0,1.0
1170,3415,406,Hasle bei Burgdorf,BE,de,4452.0,3302.0,True,2226.0,0.5
1171,3415,956,Rüegsau,BE,de,4452.0,3265.0,True,2226.0,0.5
1173,3417,956,Rüegsau,BE,de,486.0,3265.0,True,486.0,1.0
1174,3418,956,Rüegsau,BE,de,689.0,3265.0,True,689.0,1.0
1176,3421,415,Lyssach,BE,de,1709.0,1466.0,True,1466.0,0.8578115857226448
1177,3421,418,Oberburg,BE,de,1709.0,2937.0,True,243.0,0.14218841427735518
1178,3421,422,Rüti bei Lyssach,BE,de,1709.0,172.0,True,172.0,0.10064365125804564
1169,3414,418,Oberburg,BE,de,3879.0,2937.0,True,3879.0,1.0
1179,3422,412,Kirchberg (BE),BE,de,7923.0,5919.0,True,5919.0,0.7470655054903446
1180,3422,420,Rüdtligen-Alchenflüh,BE,de,7923.0,2444.0,True,2444.0,0.3084690142622744
1182,3424,405,Ersigen,BE,de,317.0,2063.0,True,317.0,1.0
1181,3423,405,Ersigen,BE,de,1735.0,2063.0,True,1735.0,1.0
1183,3425,413,Koppigen,BE,de,2308.0,2104.0,True,2104.0,0.9116117850953206
1184,3425,423,Willadingen,BE,de,2308.0,199.0,True,199.0,0.08622183708838821
1185,3426,401,Aefligen,BE,de,1103.0,1103.0,True,1103.0,1.0
1186,3427,552,Utzenstorf,BE,de,4466.0,4430.0,True,4430.0,0.9919390953873712
1187,3428,554,Wiler bei Utzenstorf,BE,de,959.0,995.0,True,995.0,1.0375391032325338
1188,3429,408,Hellsau,BE,de,493.0,214.0,True,214.0,0.4340770791075051
1189,3429,410,Höchstetten,BE,de,493.0,279.0,True,279.0,0.565922920892495
1192,3434,613,Landiswil,BE,de,650.0,619.0,True,619.0,0.9523076923076923
1195,3437,905,Rüderswil,BE,de,551.0,2373.0,True,551.0,1.0
1191,3433,905,Rüderswil,BE,de,502.0,2373.0,True,502.0,1.0
1194,3436,905,Rüderswil,BE,de,2706.0,2373.0,True,2706.0,1.0
1198,3452,955,Lützelflüh,BE,de,778.0,4211.0,True,778.0,1.0
1190,3432,955,Lützelflüh,BE,de,3195.0,4211.0,True,3195.0,1.0
1193,3435,955,Lützelflüh,BE,de,258.0,4211.0,True,258.0,1.0
1197,3439,955,Lützelflüh,BE,de,533.0,4211.0,True,533.0,1.0
1202,3456,958,Trachselwald,BE,de,128.0,954.0,True,128.0,1.0
1199,3453,958,Trachselwald,BE,de,885.0,954.0,True,885.0,1.0
1203,3457,957,Sumiswald,BE,de,1793.0,5044.0,True,1793.0,1.0
1200,3454,957,Sumiswald,BE,de,2579.0,5044.0,True,2579.0,1.0
1201,3455,957,Sumiswald,BE,de,594.0,5044.0,True,594.0,1.0
1205,3463,951,Affoltern im Emmental,BE,de,337.0,1125.0,True,337.0,1.0
1172,3416,951,Affoltern im Emmental,BE,de,601.0,1125.0,True,601.0,1.0
1204,3462,951,Affoltern im Emmental,BE,de,475.0,1125.0,True,475.0,1.0
1207,3465,952,Dürrenroth,BE,de,853.0,1052.0,True,1052.0,1.2332942555685815
1210,3473,402,Alchenstorf,BE,de,584.0,584.0,True,584.0,1.0
1211,3474,424,Wynigen,BE,de,373.0,2077.0,True,373.0,1.0
1209,3472,424,Wynigen,BE,de,1738.0,2077.0,True,1657.0,0.9533947065592635
